------------------------------------------------------------
Server listening on TCP port 5001
TCP window size: 85.3 KByte (default)
------------------------------------------------------------
[  1] local 10.0.1.1 port 5001 connected with 10.0.2.2 port 43960
[ ID] Interval       Transfer     Bandwidth
[  1] 109.0000-109.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 109.5000-110.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 110.0000-110.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 110.5000-111.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 111.0000-111.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 111.5000-112.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 112.0000-112.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 112.5000-113.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 113.0000-113.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 113.5000-114.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 114.0000-114.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 114.5000-115.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 115.0000-115.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 115.5000-116.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 116.0000-116.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 116.5000-117.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 117.0000-117.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 117.5000-118.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 118.0000-118.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 118.5000-119.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 119.0000-119.5000 sec   113 KBytes  1.85 Mbits/sec
[  1] 119.5000-120.0000 sec   503 KBytes  8.25 Mbits/sec
[  1] 120.0000-120.5000 sec   587 KBytes  9.61 Mbits/sec
[  1] 120.5000-121.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 121.0000-121.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 121.5000-122.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 122.0000-122.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 122.5000-123.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 123.0000-123.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 123.5000-124.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 124.0000-124.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 124.5000-125.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 125.0000-125.5000 sec   585 KBytes  9.59 Mbits/sec
[  1] 125.5000-126.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 126.0000-126.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 126.5000-127.0000 sec   581 KBytes  9.52 Mbits/sec
[  1] 127.0000-127.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 127.5000-128.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 128.0000-128.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 128.5000-129.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 129.0000-129.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 129.5000-130.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 130.0000-130.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 130.5000-131.0000 sec   585 KBytes  9.59 Mbits/sec
[  1] 131.0000-131.5000 sec   584 KBytes  9.57 Mbits/sec
[  1] 131.5000-132.0000 sec   584 KBytes  9.57 Mbits/sec
[  1] 132.0000-132.5000 sec   581 KBytes  9.52 Mbits/sec
[  1] 132.5000-133.0000 sec   584 KBytes  9.57 Mbits/sec
